Problem;Kodierung;k;middletime;endtime;numClauses;status
DigiTomo_Cats;KnuthSinz; 0.2;0.04;0.712;.00326;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.4;0.059;0.292;.02612;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.6;0.102;0.244;.08613;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.8;0.215;53.76;.22133;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 1.0;0.336;1.286;.47163;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 1.2;0.527;502.201;.80008;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 1.4;0.751;0;1.23524;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 1.6;1.161;0;1.85499;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 1.8;1.67;0;2.71325;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 2.0;2.372;0;3.81131;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 2.2;3.29;0;5.02564;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 2.4;5.162;0;6.39788;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 2.6;6.266;0;8.15635;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 2.8;7.501;0;10.35337;TIMEOUT;
DigiTomo_Cats;KnuthSinz; 3.0;10.775;0;12.90967;TIMEOUT;
