Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
DigiTomo_Cats;NiklasseBDDs; 0.2;25;927;2.967079734144497;1304;3.1152775913959014;SATISFIABLE;
DigiTomo_Cats;NiklasseBDDs; 0.4;65;566;2.7528164311882715;8016;3.9039577085231705;SATISFIABLE;
DigiTomo_Cats;NiklasseBDDs; 0.6;168;584;2.7664128471123997;23819;4.37692352441803;SATISFIABLE;
DigiTomo_Cats;NiklasseBDDs; 0.8;271;606552;5.782868039077269;56055;4.7486143569053185;SATISFIABLE;
DigiTomo_Cats;NiklasseBDDs; 1.0;440;87400;4.941511432634403;112645;5.051711919356773;SATISFIABLE;
DigiTomo_Cats;NiklasseBDDs; 1.2;617;TIMEOUT;na;186460;5.2705856798848245;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 1.4;921;TIMEOUT;na;282978;5.451752672803454;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 1.6;1459;TIMEOUT;na;417907;5.6210796456971375;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 1.8;1932;TIMEOUT;na;601899;5.779523621784929;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 2.0;2863;TIMEOUT;na;835241;5.921811804667672;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 2.2;3589;TIMEOUT;na;1093432;6.038791779652539;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 2.4;6595;TIMEOUT;na;1384566;6.141313662683706;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 2.6;7418;TIMEOUT;na;1754439;6.24413827285126;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 2.8;10883;TIMEOUT;na;2213383;6.345056570002538;TIMEOUT;
DigiTomo_Cats;NiklasseBDDs; 3.0;11650;TIMEOUT;na;2745573;6.438632995332121;TIMEOUT;
