Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
DigiTomo_H-Tree;KnuthSinz;5;36;1312;3.1179338350396413;296;2.4712917110589387;SATISFIABLE;
DigiTomo_H-Tree;KnuthSinz;10;47;979;2.9907826918031377;2489;3.3960248966085933;SATISFIABLE;
DigiTomo_H-Tree;KnuthSinz;15;83;550;2.7403626894942437;6288;3.7985125330313516;SATISFIABLE;
DigiTomo_H-Tree;KnuthSinz;20;215;1089;3.037027879755775;21101;4.3243030374868345;SATISFIABLE;
DigiTomo_H-Tree;KnuthSinz;25;315;TIMEOUT;na;38720;4.587935348636356;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;30;389;TIMEOUT;na;56049;4.748567868521427;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;35;719;TIMEOUT;na;110192;5.042150065641245;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;40;1161;TIMEOUT;na;174285;5.241260010761426;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;45;1464;TIMEOUT;na;235768;5.372484859425298;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;50;2155;TIMEOUT;na;323093;5.509327548874018;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;55;2544;TIMEOUT;na;396680;5.598440304561373;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;60;2913;TIMEOUT;na;475221;5.676895623855727;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;65;5520;TIMEOUT;na;702016;5.846347010466734;TIMEOUT;
DigiTomo_H-Tree;KnuthSinz;70;6835;TIMEOUT;na;818337;5.912932187657288;TIMEOUT;
