Problem;Kodierung;k;middletime;endtime;numClauses;status
DigiTomo_H-Tree;NiklasseBDDs;5;0.081;0.05;.0116;SATISFIABLE;
DigiTomo_H-Tree;NiklasseBDDs;10;0.094;0.163;.07295;SATISFIABLE;
DigiTomo_H-Tree;NiklasseBDDs;15;0.14;0.336;.1744;SATISFIABLE;
DigiTomo_H-Tree;NiklasseBDDs;20;0.291;2.64;.51779;SATISFIABLE;
DigiTomo_H-Tree;NiklasseBDDs;25;0.463;0;.9224;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;30;0.581;0;1.32703;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;35;1.5;0;2.49584;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;40;1.447;0;3.87067;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;45;2.111;0;5.1924;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;50;3.886;0;7.05611;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;55;5.859;0;8.6408;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;60;4.575;0;10.35307;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;65;6.167;0;15.05232;TIMEOUT;
DigiTomo_H-Tree;NiklasseBDDs;70;7.414;0;17.52559;TIMEOUT;
