Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;KnuthBailleux;5;509;83;1.919078092376074;629;2.798650645445269;SATISFIABLE;
Queensproblem;KnuthBailleux;10;128;127;2.103803720955957;5582;3.7467898321526123;SATISFIABLE;
Queensproblem;KnuthBailleux;15;183;427;2.630427875025024;21103;4.32434419893904;SATISFIABLE;
Queensproblem;KnuthBailleux;20;838;968;2.9858753573083936;60392;4.780979412363427;SATISFIABLE;
Queensproblem;KnuthBailleux;25;1241;2310;3.3636119798921444;131697;5.119575882036308;SATISFIABLE;
Queensproblem;KnuthBailleux;30;2067;4976;3.696880371682762;256156;5.408504532909504;SATISFIABLE;
Queensproblem;KnuthBailleux;35;5215;10326;4.013932120711204;460176;5.662923964746873;SATISFIABLE;
Queensproblem;KnuthBailleux;40;6923;19604;4.292344693840592;797056;5.9014888353692685;SATISFIABLE;
Queensproblem;KnuthBailleux;45;12187;28839;4.459980197031737;1171699;6.068816059268753;SATISFIABLE;
Queensproblem;KnuthBailleux;50;16629;41732;4.620469198710031;1808296;6.257269521628724;SATISFIABLE;
Queensproblem;KnuthBailleux;55;26246;100428;5.001854813906179;2778507;6.443811495257639;SATISFIABLE;
Queensproblem;KnuthBailleux;60;35408;88363;4.94627045212163;3621148;6.55884627523673;SATISFIABLE;
Queensproblem;KnuthBailleux;65;47593;126467;5.1019772165190895;4864657;6.687052224201749;SATISFIABLE;
Queensproblem;KnuthBailleux;70;66839;160135;5.204486264121758;6651842;6.822941924951709;SATISFIABLE;
