Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;KnuthSinz;5;23;2833;3.452246574520437;614;2.788168371141168;SATISFIABLE;
Queensproblem;KnuthSinz;10;85;1593;3.2022157758011316;4624;3.665017825412473;SATISFIABLE;
Queensproblem;KnuthSinz;15;184;872;2.940516484932567;15034;4.177074545910076;SATISFIABLE;
Queensproblem;KnuthSinz;20;294;4526;3.65571454961871;34844;4.542128005067315;SATISFIABLE;
Queensproblem;KnuthSinz;25;485;11819;4.07258073264895;67054;4.826424690108755;SATISFIABLE;
Queensproblem;KnuthSinz;30;730;39276;4.594127251355629;114664;5.059427087862753;SATISFIABLE;
Queensproblem;KnuthSinz;35;1209;21865;4.339749481680876;180674;5.256895659650269;SATISFIABLE;
Queensproblem;KnuthSinz;40;1818;70245;4.8466154168377615;268084;5.428270894851714;SATISFIABLE;
Queensproblem;KnuthSinz;45;2620;158792;5.200828618724746;379894;5.579662434414239;SATISFIABLE;
Queensproblem;KnuthSinz;50;3567;112102;5.0496133608662985;519104;5.7152543753847915;SATISFIABLE;
Queensproblem;KnuthSinz;55;5693;197437;5.295428543420083;688714;5.838038911300913;SATISFIABLE;
Queensproblem;KnuthSinz;60;7272;159845;5.203699055957276;891724;5.95023045546916;SATISFIABLE;
Queensproblem;KnuthSinz;65;9736;368742;5.566722606902033;1131134;6.053514056749833;SATISFIABLE;
Queensproblem;KnuthSinz;70;11423;281325;5.449208327542423;1409944;6.149201863737678;SATISFIABLE;
