Problem;Kodierung;k;middletime;endtime;numClauses;status
Queensproblem;NiklasseBDDs;5;0.035;0.105;.01752;SATISFIABLE;
Queensproblem;NiklasseBDDs;10;0.103;0.574;.11212;SATISFIABLE;
Queensproblem;NiklasseBDDs;15;0.818;13.37;.34372;SATISFIABLE;
Queensproblem;NiklasseBDDs;20;0.5;60.575;.77232;SATISFIABLE;
Queensproblem;NiklasseBDDs;25;0.727;473.409;1.45792;SATISFIABLE;
Queensproblem;NiklasseBDDs;30;1.067;0;2.46052;TIMEOUT;
Queensproblem;NiklasseBDDs;35;1.471;0;3.84012;TIMEOUT;
Queensproblem;NiklasseBDDs;40;2.666;0;5.65672;TIMEOUT;
Queensproblem;NiklasseBDDs;45;3.392;0;7.97032;TIMEOUT;
Queensproblem;NiklasseBDDs;50;6.445;0;10.84092;TIMEOUT;
Queensproblem;NiklasseBDDs;55;6.345;0;14.32852;TIMEOUT;
