Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;SinzParallel;5;30;57;1.7558748556724915;672;2.8273692730538253;SATISFIABLE;
Queensproblem;SinzParallel;10;35;156;2.1931245983544616;3302;3.518777068926775;SATISFIABLE;
Queensproblem;SinzParallel;15;71;1608;3.2062860444124324;7798;3.891983230851967;SATISFIABLE;
Queensproblem;SinzParallel;20;148;890;2.949390006644913;14648;4.16577833129364;SATISFIABLE;
Queensproblem;SinzParallel;25;145;1355;3.1319392952104246;23281;4.367001630838441;SATISFIABLE;
Queensproblem;SinzParallel;30;139;2387;3.3778524190067545;33938;4.530686245331194;SATISFIABLE;
Queensproblem;SinzParallel;35;221;3742;3.573103783163991;46844;4.670653972304613;SATISFIABLE;
Queensproblem;SinzParallel;40;216;5933;3.773274348337454;62090;4.793021659845984;SATISFIABLE;
Queensproblem;SinzParallel;45;210;9355;3.9710437918360286;78600;4.895422546039408;SATISFIABLE;
Queensproblem;SinzParallel;50;254;16019;4.204635401383848;98042;4.991412162026229;SATISFIABLE;
Queensproblem;SinzParallel;55;298;23754;4.375736752135849;118586;5.074033420211756;SATISFIABLE;
Queensproblem;SinzParallel;60;638;31337;4.4960574176013495;142225;5.152975942439809;SATISFIABLE;
Queensproblem;SinzParallel;65;797;60503;4.78177690938212;168000;5.225309281725863;SATISFIABLE;
Queensproblem;SinzParallel;70;548;65670;4.817367016287594;195105;5.29026839930013;SATISFIABLE;
