Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;KnuthBailleux;250;34;96;1.9822712330395684;2114;3.3251049829714074;SATISFIABLE;
SynthTests;KnuthBailleux;500;103;134;2.1271047983648077;8333;3.920801381825654;SATISFIABLE;
SynthTests;KnuthBailleux;750;179;253;2.403120521175818;18588;4.2692326638068305;SATISFIABLE;
SynthTests;KnuthBailleux;1000;172;137;2.1367205671564067;28415;4.45354766038075;UNSATISFIABLE;
SynthTests;KnuthBailleux;1250;426;196;2.292256071356476;48978;4.690001046883064;UNSATISFIABLE;
SynthTests;KnuthBailleux;1500;459;1373;3.137670537236755;72468;4.860146275655942;SATISFIABLE;
SynthTests;KnuthBailleux;1750;636;403;2.6053050461411096;96299;4.983621777293415;UNSATISFIABLE;
SynthTests;KnuthBailleux;2000;790;458;2.660865478003869;122421;5.087855922726542;UNSATISFIABLE;
SynthTests;KnuthBailleux;2250;1021;617;2.7902851640332416;151967;5.18174929009034;UNSATISFIABLE;
SynthTests;KnuthBailleux;2500;1398;757;2.8790958795000727;201432;5.304128464824712;UNSATISFIABLE;
SynthTests;KnuthBailleux;2750;1658;4855;3.6861892342440234;229249;5.360307449923611;SATISFIABLE;
SynthTests;KnuthBailleux;3000;1942;1124;3.0507663112330423;279998;5.447154929227698;UNSATISFIABLE;
SynthTests;KnuthBailleux;3250;2193;1128;3.0523090996473234;313978;5.4968992187314045;UNSATISFIABLE;
SynthTests;KnuthBailleux;3500;2383;6278;3.797821311364024;356395;5.551931602526336;SATISFIABLE;
SynthTests;KnuthBailleux;3750;2879;1575;3.197280558125619;412074;5.61497521337742;UNSATISFIABLE;
SynthTests;KnuthBailleux;4000;3330;1637;3.2140486794119414;446454;5.649776718375032;UNSATISFIABLE;
SynthTests;KnuthBailleux;4250;3623;1932;3.2860071220794747;494063;5.693782331125788;UNSATISFIABLE;
SynthTests;KnuthBailleux;4500;5025;869;2.9390197764486663;593200;5.773201142356345;UNSATISFIABLE;
SynthTests;KnuthBailleux;4750;5348;1894;3.2773799746672547;647449;5.811205564427574;UNSATISFIABLE;
SynthTests;KnuthBailleux;5000;6431;1670;3.2227164711475833;717977;5.856110532079244;UNSATISFIABLE;
