Problem;Kodierung;k;middletime;endtime;numClauses;status
SynthTests;KnuthBailleux;250;0.034;0.096;.02114;SATISFIABLE;
SynthTests;KnuthBailleux;500;0.103;0.134;.08333;SATISFIABLE;
SynthTests;KnuthBailleux;750;0.179;0.253;.18588;SATISFIABLE;
SynthTests;KnuthBailleux;1000;0.172;0.137;.28415;UNSATISFIABLE;
SynthTests;KnuthBailleux;1250;0.426;0.196;.48978;UNSATISFIABLE;
SynthTests;KnuthBailleux;1500;0.459;1.373;.72468;SATISFIABLE;
SynthTests;KnuthBailleux;1750;0.636;0.403;.96299;UNSATISFIABLE;
SynthTests;KnuthBailleux;2000;0.79;0.458;1.22421;UNSATISFIABLE;
SynthTests;KnuthBailleux;2250;1.021;0.617;1.51967;UNSATISFIABLE;
SynthTests;KnuthBailleux;2500;1.398;0.757;2.01432;UNSATISFIABLE;
SynthTests;KnuthBailleux;2750;1.658;4.855;2.29249;SATISFIABLE;
SynthTests;KnuthBailleux;3000;1.942;1.124;2.79998;UNSATISFIABLE;
SynthTests;KnuthBailleux;3250;2.193;1.128;3.13978;UNSATISFIABLE;
SynthTests;KnuthBailleux;3500;2.383;6.278;3.56395;SATISFIABLE;
SynthTests;KnuthBailleux;3750;2.879;1.575;4.12074;UNSATISFIABLE;
SynthTests;KnuthBailleux;4000;3.33;1.637;4.46454;UNSATISFIABLE;
SynthTests;KnuthBailleux;4250;3.623;1.932;4.94063;UNSATISFIABLE;
SynthTests;KnuthBailleux;4500;5.025;0.869;5.932;UNSATISFIABLE;
SynthTests;KnuthBailleux;4750;5.348;1.894;6.47449;UNSATISFIABLE;
SynthTests;KnuthBailleux;5000;6.431;1.67;7.17977;UNSATISFIABLE;
