Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;KnuthSinz;250;35;898;2.9532763366673045;1839;3.2645817292380777;SATISFIABLE;
SynthTests;KnuthSinz;500;124;378;2.5774917998372255;8731;3.941063988219902;UNSATISFIABLE;
SynthTests;KnuthSinz;750;177;443;2.6464037262230695;19787;4.296379953771385;SATISFIABLE;
SynthTests;KnuthSinz;1000;196;136;2.1335389083702174;29348;4.467578510402737;UNSATISFIABLE;
SynthTests;KnuthSinz;1250;404;238;2.376576957056512;53828;4.731008243737294;UNSATISFIABLE;
SynthTests;KnuthSinz;1500;523;303;2.481442628502305;76934;4.886118313131451;UNSATISFIABLE;
SynthTests;KnuthSinz;1750;627;410;2.6127838567197355;101526;5.006577275850753;UNSATISFIABLE;
SynthTests;KnuthSinz;2000;939;575;2.7596678446896306;145507;5.16288388671194;UNSATISFIABLE;
SynthTests;KnuthSinz;2250;1094;685;2.8356905714924254;164036;5.21493917052091;UNSATISFIABLE;
SynthTests;KnuthSinz;2500;1369;766;2.884228769632604;213878;5.330166114305126;UNSATISFIABLE;
SynthTests;KnuthSinz;2750;1945;1051;3.021602716028242;281360;5.449262355308886;UNSATISFIABLE;
SynthTests;KnuthSinz;3000;2055;1113;3.0464951643347082;308435;5.489163654218084;UNSATISFIABLE;
SynthTests;KnuthSinz;3250;2538;18663;4.270981456062332;372682;5.571338417466871;SATISFIABLE;
SynthTests;KnuthSinz;3500;2676;1352;3.130976691605617;401378;5.603553564612744;UNSATISFIABLE;
SynthTests;KnuthSinz;3750;3152;1743;3.2412973871099933;469787;5.6719009947609145;UNSATISFIABLE;
SynthTests;KnuthSinz;4000;3863;1848;3.2667019668840878;557115;5.745944851745261;UNSATISFIABLE;
SynthTests;KnuthSinz;4250;5224;683;2.8344207036815328;604059;5.781079359354644;UNSATISFIABLE;
SynthTests;KnuthSinz;4500;5779;1065;3.0273496077747564;686332;5.83653424819773;UNSATISFIABLE;
SynthTests;KnuthSinz;4750;6366;1396;3.144885418287142;765141;5.883741474211615;UNSATISFIABLE;
SynthTests;KnuthSinz;5000;7281;1289;3.110252917353403;849556;5.9291920114445045;UNSATISFIABLE;
