Problem;Kodierung;k;middletime;endtime;numClauses;status
SynthTests;NetworksNaiv;250;0.083;0.316;.15862;SATISFIABLE;
SynthTests;NetworksNaiv;500;0.27;0.262;.896;UNSATISFIABLE;
SynthTests;NetworksNaiv;750;0.449;8.248;1.81138;SATISFIABLE;
SynthTests;NetworksNaiv;1000;0.863;22.821;3.40542;SATISFIABLE;
SynthTests;NetworksNaiv;1250;1.596;2.143;6.01557;UNSATISFIABLE;
SynthTests;NetworksNaiv;1500;2.159;30.249;7.9692;SATISFIABLE;
SynthTests;NetworksNaiv;1750;2.726;3.203;10.37992;UNSATISFIABLE;
SynthTests;NetworksNaiv;2000;3.63;4.341;13.71122;UNSATISFIABLE;
SynthTests;NetworksNaiv;2250;6.409;3.227;17.72774;UNSATISFIABLE;
SynthTests;NetworksNaiv;2500;7.51;5.263;22.61983;UNSATISFIABLE;
SynthTests;NetworksNaiv;2750;8.47;4.999;26.23546;UNSATISFIABLE;
SynthTests;NetworksNaiv;3000;11.952;6.052;33.51756;UNSATISFIABLE;
SynthTests;NetworksNaiv;3250;13.486;7.557;38.86989;UNSATISFIABLE;
SynthTests;NetworksNaiv;3500;19.401;9.339;44.57825;UNSATISFIABLE;
SynthTests;NetworksNaiv;3750;23.857;10.955;51.06325;UNSATISFIABLE;
SynthTests;NetworksNaiv;4000;26.981;12.123;58.69318;UNSATISFIABLE;
SynthTests;NetworksNaiv;4250;33.397;12.819;65.67644;UNSATISFIABLE;
SynthTests;NetworksNaiv;4500;39.012;17.138;74.1337;UNSATISFIABLE;
SynthTests;NetworksNaiv;4750;40.691;16.805;80.52812;UNSATISFIABLE;
SynthTests;NetworksNaiv;5000;43.492;17.365;91.7753;UNSATISFIABLE;
