Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;NetworksNaiv;250;83;316;2.499687082618404;15862;4.2003579455416356;SATISFIABLE;
SynthTests;NetworksNaiv;500;270;262;2.4183012913197452;89600;4.952308009662125;UNSATISFIABLE;
SynthTests;NetworksNaiv;750;449;8248;3.91634865227546;181138;5.258009568255152;SATISFIABLE;
SynthTests;NetworksNaiv;1000;863;22821;4.358334670974681;340542;5.532170682308645;SATISFIABLE;
SynthTests;NetworksNaiv;1250;1596;2143;3.3310221710418286;601557;5.779276784814056;UNSATISFIABLE;
SynthTests;NetworksNaiv;1500;2159;30249;4.480711021908802;796920;5.901414726286469;SATISFIABLE;
SynthTests;NetworksNaiv;1750;2726;3203;3.5055569386638217;1037992;6.016194006335904;UNSATISFIABLE;
SynthTests;NetworksNaiv;2000;3630;4341;3.6375897858387;1371122;6.137076099260347;UNSATISFIABLE;
SynthTests;NetworksNaiv;2250;6409;3227;3.508798965403905;1772774;6.248653373610535;UNSATISFIABLE;
SynthTests;NetworksNaiv;2500;7510;5263;3.7212333700172775;2261983;6.3544893366487045;UNSATISFIABLE;
SynthTests;NetworksNaiv;2750;8470;4999;3.69888313675259;2623546;6.418888683312718;UNSATISFIABLE;
SynthTests;NetworksNaiv;3000;11952;6052;3.781898919351149;3351756;6.525272395486104;UNSATISFIABLE;
SynthTests;NetworksNaiv;3250;13486;7557;3.8783494222177755;3886989;6.5896133115996065;UNSATISFIABLE;
SynthTests;NetworksNaiv;3500;19401;9339;3.9703003754021777;4457825;6.649123015461827;UNSATISFIABLE;
SynthTests;NetworksNaiv;3750;23857;10955;4.039612381896724;5106325;6.7081084526959645;UNSATISFIABLE;
SynthTests;NetworksNaiv;4000;26981;12123;4.08361010516231;5869318;6.7685876402520115;UNSATISFIABLE;
SynthTests;NetworksNaiv;4250;33397;12819;4.107854147536859;6567644;6.817409603760322;UNSATISFIABLE;
SynthTests;NetworksNaiv;4500;39012;17138;4.233960138494771;7413370;6.870015676224299;UNSATISFIABLE;
SynthTests;NetworksNaiv;4750;40691;16805;4.225438516805497;8052812;6.90594756022298;UNSATISFIABLE;
SynthTests;NetworksNaiv;5000;43492;17365;4.2396747876467815;9177530;6.962725812823332;UNSATISFIABLE;
