Problem;Kodierung;k;middletime;endtime;numClauses;status
SynthTests;NetworksOddEvenMergesort;250;0.113;0.278;.22218;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;500;0.193;0.502;.51276;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;750;0.429;0.704;1.76561;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1000;0.687;1.032;2.49527;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1250;0.941;1.609;3.57052;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1500;1.193;8.499;4.4557;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1750;1.496;2.417;5.54823;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2000;1.956;20.153;7.01933;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2250;2.767;4.211;9.37426;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2500;3.109;4.427;11.53688;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2750;5.62;33.297;15.92157;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3000;6.355;5.202;18.26563;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3250;7.088;5.996;20.59464;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3500;7.48;9.936;22.88206;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3750;8.219;8.495;23.67859;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4000;9.473;7.722;27.83481;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4250;11.233;10.391;31.08254;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4500;12.56;10.793;33.66052;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4750;14.082;10.204;36.22825;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;5000;14.27;11.279;39.67375;UNSATISFIABLE;
