Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;NetworksOddEvenMergesort;250;113;278;2.444044795918076;22218;4.346704962433086;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;500;193;502;2.7007037171450192;51276;4.709914138864821;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;750;429;704;2.847572659142112;176561;5.246894779902421;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1000;687;1032;3.0136796972911926;249527;5.39711754521627;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1250;941;1609;3.2065560440990297;357052;5.55273147008557;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1500;1193;8499;3.9293678292400998;445570;5.648915942324875;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;1750;1496;2417;3.3832766504076504;554823;5.74415445630543;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2000;1956;20153;4.304339704892339;701933;5.8462956603934195;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2250;2767;4211;3.624385241420265;937426;5.971936994735651;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2500;3109;4427;3.6461095219788477;1153688;6.062088375371881;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;2750;5620;33297;4.522405106114798;1592157;6.201985890582417;SATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3000;6355;5202;3.716170347859854;1826563;6.261634656060943;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3250;7088;5996;3.777861624176242;2059464;6.313754204771195;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3500;7480;9936;3.997211582832505;2288206;6.359495120049326;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;3750;8219;8495;3.9291633832050645;2367859;6.374355837685544;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4000;9473;7722;3.8877297972880305;2783481;6.444588261165387;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4250;11233;10391;4.016657344822202;3108254;6.492516501213529;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4500;12560;10793;4.033142177060625;3366052;6.527120820831314;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;4750;14082;10204;4.008770449937752;3622825;6.559047356013581;UNSATISFIABLE;
SynthTests;NetworksOddEvenMergesort;5000;14270;11279;4.052270596656749;3967375;6.598503252335409;UNSATISFIABLE;
