Problem;Kodierung;k;middletime;endtime;numClauses;status
SynthTests;NetworksOwnSorting;250;0.077;0.935;.15265;SATISFIABLE;
SynthTests;NetworksOwnSorting;500;0.273;0.79;.44384;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;750;0.325;1.375;1.07419;SATISFIABLE;
SynthTests;NetworksOwnSorting;1000;0.559;0.867;1.87547;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;1250;0.818;1.695;2.74856;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;1500;1.168;7.635;3.41344;SATISFIABLE;
SynthTests;NetworksOwnSorting;1750;1.471;2.192;4.48223;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2000;1.727;2.704;5.47144;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2250;2.338;2.89;7.10253;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2500;3.102;4.573;10.19041;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2750;4.38;4.577;11.1562;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3000;7.332;7.556;13.6786;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3250;8.086;6.248;15.66063;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3500;7.755;6.556;17.77888;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3750;9.743;6.576;20.03005;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4000;11.171;6.527;20.97661;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4250;11.788;7.525;23.88809;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4500;12.813;9.502;27.51608;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4750;13.658;10.841;28.79019;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;5000;15.693;10.644;30.86994;UNSATISFIABLE;
