Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;NetworksOwnSorting;250;77;935;2.9708116108725178;15265;4.18369680863468;SATISFIABLE;
SynthTests;NetworksOwnSorting;500;273;790;2.8976270912904414;44384;4.647226439393191;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;750;325;1375;3.1383026981662816;107419;5.031081105063281;SATISFIABLE;
SynthTests;NetworksOwnSorting;1000;559;867;2.9380190974762104;187547;5.273110121571967;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;1250;818;1695;3.229169702539101;274856;5.439105221885521;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;1500;1168;7635;3.88280904139244;341344;5.533192273410656;SATISFIABLE;
SynthTests;NetworksOwnSorting;1750;1471;2192;3.3408405498123317;448223;5.651494138046429;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2000;1727;2704;3.4320066872695985;547144;5.738101641095939;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2250;2338;2890;3.4608978427565478;710253;5.85141307679229;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2500;3102;4573;3.6602012013806817;1019041;6.008191657721391;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;2750;4380;4577;3.6605809124272994;1115620;6.047516291370079;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3000;7332;7556;3.878291949249796;1367860;6.136041649767977;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3250;8086;6248;3.7957410208692437;1566063;6.194809228987581;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3500;7755;6556;3.8166389448984614;1777888;6.249904398639798;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;3750;9743;6576;3.817961804531994;2003005;6.301682033402263;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4000;11171;6527;3.814713612695977;2097661;6.3217353038169275;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4250;11788;7525;3.876506504265881;2388809;6.378181426617962;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4500;12813;9502;3.977815026083187;2751608;6.439586563443214;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;4750;13658;10841;4.035069344421104;2879019;6.4592445310010165;UNSATISFIABLE;
SynthTests;NetworksOwnSorting;5000;15693;10644;4.027104865879351;3086994;6.489535785371495;UNSATISFIABLE;
