Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
SynthTests;NiklasseBDDs;250;54;650;2.8129133566428557;5684;3.754654069255432;UNSATISFIABLE;
SynthTests;NiklasseBDDs;500;152;909;2.9585638832219674;19827;4.297257006590092;SATISFIABLE;
SynthTests;NiklasseBDDs;750;199;1145;3.0588054866759067;43356;4.637049207615647;UNSATISFIABLE;
SynthTests;NiklasseBDDs;1000;304;1143;3.0580462303952816;71512;4.854378924269616;UNSATISFIABLE;
SynthTests;NiklasseBDDs;1250;380;446;2.649334858712142;116568;5.066579345184643;UNSATISFIABLE;
SynthTests;NiklasseBDDs;1500;517;3338;3.5234863323432277;162966;5.212097005921673;UNSATISFIABLE;
SynthTests;NiklasseBDDs;1750;815;959;2.9818186071706636;231617;5.364770432150564;UNSATISFIABLE;
SynthTests;NiklasseBDDs;2000;1057;897;2.952792443044092;297558;5.473571630988479;UNSATISFIABLE;
SynthTests;NiklasseBDDs;2250;1248;5108;3.708250888591378;376848;5.576166214735131;UNSATISFIABLE;
SynthTests;NiklasseBDDs;2500;1687;5186;3.7148325124333326;447612;5.650901720983936;UNSATISFIABLE;
SynthTests;NiklasseBDDs;2750;2004;85777;4.933370852975225;533079;5.726791574358097;SATISFIABLE;
SynthTests;NiklasseBDDs;3000;2284;5596;3.74787770581979;653867;5.815489419516687;UNSATISFIABLE;
SynthTests;NiklasseBDDs;3250;2997;13251;4.122248653978054;799707;5.902930897502905;UNSATISFIABLE;
SynthTests;NiklasseBDDs;3500;3547;20257;4.3065751280964495;854774;5.931851303585318;UNSATISFIABLE;
SynthTests;NiklasseBDDs;3750;5121;9859;3.993832866613986;1029996;6.012835538121385;UNSATISFIABLE;
SynthTests;NiklasseBDDs;4000;8327;10717;4.030073230712518;1256537;6.099175281356168;UNSATISFIABLE;
SynthTests;NiklasseBDDs;4250;9008;50316;4.701706108451193;1307073;6.116299843595726;UNSATISFIABLE;
SynthTests;NiklasseBDDs;4500;7397;4595;3.66228551572213;1518956;6.1815451937219255;UNSATISFIABLE;
SynthTests;NiklasseBDDs;4750;7250;11952;4.077440584471324;1591355;6.201767073011222;UNSATISFIABLE;
SynthTests;NiklasseBDDs;5000;7923;25341;4.403823748902307;1809104;6.2574635338735485;UNSATISFIABLE;
