Problem;Kodierung;k;middletime;endtime;numClauses;status
SynthTests;SinzParallel;250;0.026;0.36;.02036;SATISFIABLE;
SynthTests;SinzParallel;500;0.041;0.242;.06556;SATISFIABLE;
SynthTests;SinzParallel;750;0.037;0.268;.10756;SATISFIABLE;
SynthTests;SinzParallel;1000;0.09;0.331;.1782;UNSATISFIABLE;
SynthTests;SinzParallel;1250;0.13;0.646;.25152;SATISFIABLE;
SynthTests;SinzParallel;1500;0.173;0.913;.3536;UNSATISFIABLE;
SynthTests;SinzParallel;1750;0.241;0.955;.44901;SATISFIABLE;
SynthTests;SinzParallel;2000;0.314;1.108;.52669;UNSATISFIABLE;
SynthTests;SinzParallel;2250;0.202;1.195;.64311;UNSATISFIABLE;
SynthTests;SinzParallel;2500;0.247;1.425;.78426;UNSATISFIABLE;
SynthTests;SinzParallel;2750;0.331;2.404;.90417;UNSATISFIABLE;
SynthTests;SinzParallel;3000;0.365;2.371;1.03205;UNSATISFIABLE;
SynthTests;SinzParallel;3250;0.426;3.199;1.1783;UNSATISFIABLE;
SynthTests;SinzParallel;3500;0.482;2.677;1.30233;UNSATISFIABLE;
SynthTests;SinzParallel;3750;0.541;4.449;1.4821;UNSATISFIABLE;
SynthTests;SinzParallel;4000;0.633;3.845;1.61926;UNSATISFIABLE;
SynthTests;SinzParallel;4250;0.713;5.513;1.83913;UNSATISFIABLE;
SynthTests;SinzParallel;4500;0.815;4.688;1.95377;UNSATISFIABLE;
SynthTests;SinzParallel;4750;0.925;6.785;2.09385;UNSATISFIABLE;
SynthTests;SinzParallel;5000;1.052;16.383;2.25479;UNSATISFIABLE;
