Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;KnuthBailleux;250;4444.0;3.64777405026883;12401.2;4.093463711626978
SynthTests;KnuthBailleux;500;1814.2;3.2586851626074727;53388.8;4.7274501594937
SynthTests;KnuthBailleux;750;1127.6;3.0521550671995645;114680.0;5.059487684274447
SynthTests;KnuthBailleux;1000;2086.2;3.319355941066902;195139.6;5.290345410431677
SynthTests;KnuthBailleux;1250;2750.2;3.439364277735;314176.2;5.497173282549396
SynthTests;KnuthBailleux;1500;2885.2;3.4601759235180283;440017.4;5.643469850519305
SynthTests;KnuthBailleux;1750;4156.2;3.6186964380204825;579900.4;5.763353408313197
SynthTests;KnuthBailleux;2000;5275.0;3.72222246396973;766550.6;5.884540827912473
SynthTests;KnuthBailleux;2250;5686.4;3.7548374061252074;946525.4;5.976132272744432
SynthTests;KnuthBailleux;2500;6514.8;3.8139010877033046;1200260.4;6.07927547772643
SynthTests;KnuthBailleux;2750;8245.8;3.9162327968793895;1422357.2;6.153008675513452
SynthTests;KnuthBailleux;3000;7450.8;3.8722029058936083;1660465.4;6.2202298304037615
SynthTests;KnuthBailleux;3250;8703.0;3.9396689835223264;1900534.2;6.2788756891128354
SynthTests;KnuthBailleux;3500;9654.0;3.984707294482673;2167129.2;6.335884803878387
SynthTests;KnuthBailleux;3750;11197.4;4.049117192604369;2494924.6;6.397057425190374
SynthTests;KnuthBailleux;4000;10060.2;4.002606614719211;2822165.6;6.450582493846435
SynthTests;KnuthBailleux;4250;7709.8;3.8870431121595206;3185052.2;6.503116554406435
SynthTests;KnuthBailleux;4500;8113.4;3.90920288772572;3585783.8;6.554584100815246
SynthTests;KnuthBailleux;4750;7648.2;3.8835592361928204;3972051.6;6.599014881678758
SynthTests;KnuthBailleux;5000;7260.8;3.860984474204842;4376089.8;6.641086225401317
