Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;KnuthSinz;250;3254.4;3.5124709312426505;7701.0;3.886547123391106
SynthTests;KnuthSinz;500;1762.0;3.246005904076029;33234.4;4.521587842609444
SynthTests;KnuthSinz;750;1554.8;3.191674531959229;72200.8;4.858542009670202
SynthTests;KnuthSinz;1000;1545.8;3.1891533029618895;133994.2;5.127086000137119
SynthTests;KnuthSinz;1250;2014.2;3.304102591631656;218676.2;5.339801518423424
SynthTests;KnuthSinz;1500;4142.4;3.617252033090797;316564.0;5.500461524896815
SynthTests;KnuthSinz;1750;4039.6;3.606338363528125;412940.0;5.615886953443552
SynthTests;KnuthSinz;2000;4971.4;3.6964787079798533;559477.2;5.747782392712541
SynthTests;KnuthSinz;2250;5926.4;3.7727909606658216;727807.8;5.862016705659129
SynthTests;KnuthSinz;2500;5929.4;3.773010749034977;920757.6;5.964145312239892
SynthTests;KnuthSinz;2750;8360.8;3.922247834731226;1100087.8;6.041427348370785
SynthTests;KnuthSinz;3000;8577.8;3.933375916010192;1287058.4;6.109598253370835
SynthTests;KnuthSinz;3250;13692.2;4.136473234189328;1503056.6;6.176975334948086
SynthTests;KnuthSinz;3500;10481.8;4.020435868806277;1783695.4;6.251320692308192
SynthTests;KnuthSinz;3750;7146.8;3.8541116287344788;2009411.2;6.303068818588705
SynthTests;KnuthSinz;4000;6361.2;3.8035390502740514;2289805.2;6.359798537290293
SynthTests;KnuthSinz;4250;5514.6;3.74151401648738;2578607.6;6.411385258337756
SynthTests;KnuthSinz;4500;13858.0;4.141700556997391;2961125.6;6.471456828946226
SynthTests;KnuthSinz;4750;5826.8;3.765430111553846;3215663.6;6.50727060963324
SynthTests;KnuthSinz;5000;5886.2;3.769835014376016;3596719.4;6.555906557422319
