Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;NetworksNaiv;250;1318.2;3.119981307304154;43969.8;4.643154490202514
SynthTests;NetworksNaiv;500;3626.2;3.5594517535656185;202598.2;5.306635582517154
SynthTests;NetworksNaiv;750;12685.2;4.103297318874395;444298.8;5.647675140262969
SynthTests;NetworksNaiv;1000;15083.4;4.178499248350939;782142.6;5.893285940716128
SynthTests;NetworksNaiv;1250;6531.8;3.815032878418251;1259415.6;6.100169068473712
SynthTests;NetworksNaiv;1500;64023.8;4.806341447222275;1876098.8;6.273255705666161
SynthTests;NetworksNaiv;1750;36200.2;4.558710969943564;2554785.6;6.4073544596003345
SynthTests;NetworksNaiv;2000;42971.8;4.6331835457643;3391630.0;6.530408468076736
SynthTests;NetworksNaiv;2250;77166.6;4.887429365433731;3866207.4;6.587285147742084
SynthTests;NetworksNaiv;2500;10761.8;4.031884916747505;4986845.8;6.697825939454683
SynthTests;NetworksNaiv;2750;11611.6;4.064892066706237;6042370.8;6.781207372948625
SynthTests;NetworksNaiv;3000;12090.6;4.082447853401999;6269594.6;6.7972394597023165
SynthTests;NetworksNaiv;3250;37691.6;4.576244573544651;6931336.0;6.840816952000898
SynthTests;NetworksNaiv;3500;50239.6;4.701046172956761;7955157.4;6.9006487769775955
SynthTests;NetworksNaiv;3750;18423.8;4.265379210487665;9017653.4;6.955093538870287
SynthTests;NetworksNaiv;4000;83909.0;4.923808545342533;1.02889668E7;7.012371765861808
SynthTests;NetworksNaiv;4250;21391.8;4.330247329554108;1.18262868E7;7.072848406892674
SynthTests;NetworksNaiv;4500;268977.2;5.4297154683524225;1.3221454E7;7.1212792183458
SynthTests;NetworksNaiv;4750;244058.0;5.38749304800529;1.46746634E7;7.166568148406934
SynthTests;NetworksNaiv;5000;31424.8;4.497272522342951;1.61616132E7;7.208484708473904
