Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;NiklasseBDDs;250;1525.6;3.183440680037949;12852.8;4.10899774961933
SynthTests;NiklasseBDDs;500;1585.0;3.2000292665537704;60298.4;4.780305788418923
SynthTests;NiklasseBDDs;750;3316.4;3.520666906472944;124403.8;5.094833646382339
SynthTests;NiklasseBDDs;1000;5692.0;3.7552648914122466;219397.6;5.34123187249823
SynthTests;NiklasseBDDs;1250;3940.6;3.595562353005851;339887.2;5.5313348095549895
SynthTests;NiklasseBDDs;1500;9896.0;3.9954596866210643;484386.0;5.685191582425987
SynthTests;NiklasseBDDs;1750;8623.6;3.9356886038466534;648149.0;5.811674855313965
SynthTests;NiklasseBDDs;2000;21904.8;4.340539292241749;904173.6;5.956251822382302
SynthTests;NiklasseBDDs;2250;29755.2;4.473562873727161;1085873.0;6.0357790346225615
SynthTests;NiklasseBDDs;2500;35520.4;4.550477847782651;1399775.8;6.14605848094957
SynthTests;NiklasseBDDs;2750;51451.0;4.711393820114223;1565503.6;6.194654070648774
SynthTests;NiklasseBDDs;3000;26533.2;4.423789630628192;1870164.0;6.27187969272474
SynthTests;NiklasseBDDs;3250;25506.6;4.406652571520464;2197063.4;6.341842589407026
SynthTests;NiklasseBDDs;3500;39738.8;4.599214748499843;2512839.0;6.400164663820788
SynthTests;NiklasseBDDs;3750;37568.6;4.574825011310301;2889176.4;6.460774058703956
SynthTests;NiklasseBDDs;4000;59434.0;4.774034959931252;3268770.6;6.514384443171391
SynthTests;NiklasseBDDs;4250;112158.4;5.049831805222018;3734490.2;6.572231324106381
SynthTests;NiklasseBDDs;4500;42945.6;4.632918674718888;4165862.8;6.619704962639066
SynthTests;NiklasseBDDs;4750;56959.2;4.755563880944365;4550541.6;6.658063088941377
SynthTests;NiklasseBDDs;5000;49861.6;4.697766210389618;5099838.0;6.707556380642347
