Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;SinzParallel;250;14330.8;4.15627043505106;83395.2;4.921141054552555
SynthTests;SinzParallel;500;12300.0;4.089905111439398;273556.2;5.437046562269306
SynthTests;SinzParallel;750;12259.6;4.088476300473855;508820.0;5.706564173628819
SynthTests;SinzParallel;1000;17631.8;4.246296650935927;799451.6;5.902792176038228
SynthTests;SinzParallel;1250;27716.2;4.442733686540105;1149890.4;6.0606564482287935
SynthTests;SinzParallel;1500;38368.0;4.5839691614187545;1536517.8;6.186537595765192
SynthTests;SinzParallel;1750;45198.2;4.655121139554009;1923935.0;6.2841903953430736
SynthTests;SinzParallel;2000;60489.4;4.781679276721246;2410427.2;6.382094019405119
SynthTests;SinzParallel;2250;71140.4;4.852116302757329;2866223.8;6.4573100978932745
SynthTests;SinzParallel;2500;86833.4;4.938686806347217;3447950.2;6.537560984524663
SynthTests;SinzParallel;2750;100834.6;5.003609579834662;3965705.6;6.598320470574993
SynthTests;SinzParallel;3000;120897.0;5.082415524189053;4511216.8;6.65429369891797
SynthTests;SinzParallel;3250;139426.2;5.144344391023635;5140223.4;6.710981994341364
SynthTests;SinzParallel;3500;169369.0;5.228833923344407;5728782.4;6.758062326478272
SynthTests;SinzParallel;3750;184127.2;5.265117948945879;6370519.8;6.804174869864645
SynthTests;SinzParallel;4000;205548.8;5.312914945699684;7044922.2;6.84787620137763
SynthTests;SinzParallel;4250;243649.8;5.386766059226725;7748091.6;6.889194746422317
SynthTests;SinzParallel;4500;241894.4;5.3836258143013165;8416432.6;6.9251280498805325
SynthTests;SinzParallel;4750;274159.2;5.438002824146889;9085946.0;6.9583701513679195
SynthTests;SinzParallel;5000;306649.8;5.486642685772494;9879616.8;6.994740099964863
